feature,importance
jobType_JANITOR,0.21828490267925285
yearsExperience,0.18671936667616443
milesFromMetropolis,0.12977125111764334
major_NONE,0.08562541642549508
jobType_JUNIOR,0.07476353234828116
jobType_CEO,0.048493605808704335
jobType_SENIOR,0.04021901970106662
industry_FINANCE,0.028978987406751266
industry_EDUCATION,0.028568660279812474
industry_OIL,0.025233976209264097
jobType_CFO,0.023344968783586145
jobType_CTO,0.020593759761916457
industry_SERVICE,0.015828365500611008
degree_DOCTORAL,0.014033476048648373
industry_WEB,0.009881490679133045
jobType_MANAGER,0.009699584040308773
degree_NONE,0.0065000634588770366
major_ENGINEERING,0.005839066730499172
industry_AUTO,0.005362875473309346
degree_MASTERS,0.004338331303945205
major_BUSINESS,0.004247575482082938
jobType_VICE_PRESIDENT,0.0042090425560897616
industry_HEALTH,0.0026497491759382625
major_LITERATURE,0.0023012253974661772
major_MATH,0.0013213383266450654
degree_HIGH_SCHOOL,0.000953593034784793
major_BIOLOGY,0.0006751410426670196
major_CHEMISTRY,0.0006698854435917166
major_PHYSICS,0.0003286640210935754
degree_BACHELORS,0.0002850238361147639
major_COMPSCI,7.292759024379911e-05
companyId_COMP36,8.977280394935654e-06
companyId_COMP13,8.2864273555611e-06
companyId_COMP46,7.843429659369392e-06
companyId_COMP9,7.501134878170814e-06
companyId_COMP24,6.001546903412014e-06
companyId_COMP34,5.954550601367773e-06
companyId_COMP56,5.7714107637909955e-06
companyId_COMP30,5.568066503231217e-06
companyId_COMP62,5.387795537430071e-06
companyId_COMP21,5.295029977085448e-06
companyId_COMP26,5.050009762996334e-06
companyId_COMP61,4.96677913129375e-06
companyId_COMP60,4.892852678795372e-06
companyId_COMP42,4.85859804265746e-06
companyId_COMP48,4.7940716464450026e-06
companyId_COMP38,4.679292100041011e-06
companyId_COMP44,4.67091046662279e-06
companyId_COMP15,4.329418324525594e-06
companyId_COMP20,4.326807134802108e-06
companyId_COMP17,4.1440819742501245e-06
companyId_COMP53,4.067539531970681e-06
companyId_COMP1,4.024982091372331e-06
companyId_COMP12,3.8284801686081314e-06
companyId_COMP47,3.593886815465339e-06
companyId_COMP57,3.586405233458913e-06
companyId_COMP10,3.480895782893189e-06
companyId_COMP11,3.299335728945157e-06
companyId_COMP55,3.2151999606805753e-06
companyId_COMP31,3.194768128601929e-06
companyId_COMP28,3.1940106735766354e-06
companyId_COMP4,3.1415427410278753e-06
companyId_COMP2,3.0932362568346943e-06
companyId_COMP18,2.980912528353642e-06
companyId_COMP6,2.7499508690677096e-06
companyId_COMP59,2.704059273438392e-06
companyId_COMP52,2.6640705809781753e-06
companyId_COMP58,2.630701828587831e-06
companyId_COMP32,2.5786129498822043e-06
companyId_COMP16,2.5407137705202157e-06
companyId_COMP22,2.3570084497277064e-06
companyId_COMP33,2.3118300557921807e-06
companyId_COMP39,2.1411113235106468e-06
companyId_COMP27,2.0144297865690236e-06
companyId_COMP23,2.0140882758369425e-06
companyId_COMP19,1.974068556953481e-06
companyId_COMP35,1.900524850043922e-06
companyId_COMP49,1.7962437995279673e-06
companyId_COMP54,1.7617804415319376e-06
companyId_COMP14,1.7250389337031393e-06
companyId_COMP8,1.6336569170302349e-06
companyId_COMP41,1.2719521116738334e-06
companyId_COMP43,1.142589130972388e-06
companyId_COMP37,1.0468260645838958e-06
companyId_COMP29,1.0410534259414748e-06
companyId_COMP5,1.0401018860907512e-06
companyId_COMP45,1.0320739985558734e-06
companyId_COMP51,9.327549485119915e-07
companyId_COMP50,8.156325965147993e-07
companyId_COMP3,7.458053769310232e-07
companyId_COMP40,3.734088867329147e-07
companyId_COMP7,1.9288144404182698e-07
companyId_COMP25,0.0
companyId_COMP0,0.0
